mojoTitle, rtTitle, year, found, rtID
"Saving Private Ryan",Saving Private Ryan,1998,True,13217
"Armageddon",Armageddon,1998,True,17022
"There's Something About Mary",There's Something About Mary,1998,True,17462
"A Bug's Life",A Bug's Life,1998,True,9749
"The Waterboy",The Waterboy,1998,True,10169
"Doctor Dolittle",Doctor Dolittle,1998,True,771251117
"Rush Hour",Rush Hour,1998,True,10201
"Deep Impact",Deep Impact,1998,True,11555
"Godzilla",Godzilla,1998,True,11284
"Patch Adams",Patch Adams,1998,True,12824
"Lethal Weapon 4",Lethal Weapon 4,1998,True,13559
"The Truman Show",The Truman Show,1998,True,10679
"Mulan",Mulan,1998,True,9714
"You've Got Mail",You've Got Mail,1998,True,10050
"Enemy of the State",Enemy of the State,1998,True,13101
"The Prince of Egypt",The Prince of Egypt,1998,True,10366
"The Rugrats Movie",The Rugrats Movie,1998,True,9774
"Shakespeare in Love",Shakespeare in Love,1998,True,14753
"The Mask of Zorro",The Mask of Zorro,1998,True,22489
"Stepmom",Stepmom,1998,True,10393
"Antz",Antz,1998,True,10718
"Everest (IMAX)",Everest,1998,True,17048
"The X-Files",The X-Files - Fight the Future,1998,True,10268
"The Wedding Singer",The Wedding Singer,1998,True,10214
"City of Angels",City of Angels,1998,True,10287
"The Horse Whisperer",The Horse Whisperer,1998,True,10133
"Six Days  Seven Nights",Six Days  Seven Nights,1998,True,10726
"Star Trek: Insurrection",Star Trek - Insurrection,1998,True,11889
"Blade",Blade,1998,True,13110
"Lost in Space",Lost in Space,1998,True,10920
"A Perfect Murder",A Perfect Murder,1998,True,13408
"The Parent Trap",The Parent Trap,1998,True,12593
"Ever After: A Cinderella Story",Ever After: A Cinderella Story,1998,True,11509
"Hope Floats",Hope Floats,1998,True,12310
"Life Is Beautiful",,1998,False,
"U.S. Marshals",U.S. Marshals,1998,True,10760
"The Man in the Iron Mask",The Man in the Iron Mask,1998,True,10666
"A Civil Action",A Civil Action,1998,True,10500
"Snake Eyes",Snake Eyes,1998,True,14290
"What Dreams May Come",What Dreams May Come,1998,True,11789
"Halloween: H20",,1998,False,
"Small Soldiers",Small Soldiers,1998,True,12702
"T-Rex: Back to the Cretaceous (IMAX)",T-Rex - Back to the Cretaceous,1998,True,20326
"Mighty Joe Young",Mighty Joe Young,1998,True,11100
"Practical Magic",Practical Magic,1998,True,10102
"Meet Joe Black",Meet Joe Black,1998,True,12724
"The Negotiator",The Negotiator,1998,True,13327
"Ronin",Ronin,1998,True,13378
"The Siege",The Siege,1998,True,16451
"Mysteries of Egypt (IMAX)",Mysteries of Egypt,1998,True,19287
"Pleasantville",Pleasantville,1998,True,10341
"The Faculty",The Faculty,1998,True,13701
"I Still Know What You Did Last Summer",I Still Know What You Did Last Summer,1998,True,14749
"Primary Colors",Primary Colors,1998,True,12462
"Urban Legend",Urban Legend,1998,True,14372
"How Stella Got Her Groove Back",How Stella Got Her Groove Back,1998,True,16561
"Out of Sight",Out of Sight,1998,True,13912
"Sphere",Sphere,1998,True,11101
"The Thin Red Line",The Thin Red Line,1998,True,15744
"Jack Frost",Jack Frost,1998,True,157435925
"Mercury Rising",Mercury Rising,1998,True,13855
"Bride of Chucky",Bride of Chucky,1998,True,14873
"A Night at the Roxbury",A Night at the Roxbury,1998,True,10262
"Wild Things",Wild Things,1998,True,17388
"ElizabethÂ ",,1998,False,
"Madeline",Madeline,1998,True,11162
"Spice World",,1998,False,
"The Object of My Affection",The Object of My Affection,1998,True,14254
"Grease (Re-issue)",,1998,False,
